id_anuncio,url_anuncio,marca,modelo,versao,titulo,ano_modelo,preco,km,uf,cidade,cor,transmissao,tipo_anunciante,super_oferta,is_pf,seller_id,affiliation,img_url,modelo_alvo,marca_slug,data_coleta,fipe_codigo,fipe_nome,fipe_preco,fipe_match_score,fipe_bucket,desvio_fipe
57234225,https://www.icarros.com.br/comprar/franca-sp/volkswagen/t-cross/2020/d57234225,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2020,106890.0,77640.0,SP,Franca,Branco,automático,PJ,False,False,1653957,1653957,https://img0.icarros.com/dbimg/imgadicionalanuncio/1/476001120_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.607400,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,104693.0,4,exato,0.020985166152464825
56044607,https://www.icarros.com.br/comprar/sao-paulo-sp/volkswagen/t-cross/2024/d56044607,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2024,129900.0,47000.0,SP,São Paulo,Prata,automático,PJ,False,False,425884,425884,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/463254384_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.751610,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,131448.0,4,exato,-0.011776519992696731
56342216,https://www.icarros.com.br/comprar/hortolandia-sp/volkswagen/t-cross/2021/d56342216,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2021,117990.0,60540.0,SP,Hortolândia,Bronze,automático,PJ,False,False,1104132,1104132,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/466383242_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.753644,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,109080.0,4,exato,0.08168316831683169
57492347,https://www.icarros.com.br/comprar/sao-jose-do-rio-preto-sp/volkswagen/t-cross/2025/d57492347,Volkswagen,T-Cross,1.0 200 TSI (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI (Aut) automático,2025,121290.0,49075.0,SP,São José do Rio Preto,Preto,automático,LC,False,False,2160552,2160552,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/478603265_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.828661,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,119704.0,3,exato,0.013249348392701999
57489468,https://www.icarros.com.br/comprar/sao-jose-do-rio-preto-sp/volkswagen/t-cross/2025/d57489468,Volkswagen,T-Cross,1.0 200 TSI (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI (Aut) automático,2025,128390.0,22587.0,SP,São José do Rio Preto,Preto,automático,LC,False,False,2160552,2160552,https://img0.icarros.com/dbimg/imgadicionalanuncio/1/478574929_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.828869,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,119704.0,3,exato,0.07256232039029606
57488792,https://www.icarros.com.br/comprar/sao-jose-do-rio-preto-sp/volkswagen/t-cross/2025/d57488792,Volkswagen,T-Cross,1.0 200 TSI (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI (Aut) automático,2025,132390.0,11531.0,SP,São José do Rio Preto,Prata,automático,LC,False,False,2160552,2160552,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/478568224_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.829078,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,119704.0,3,exato,0.10597807926218004
57493468,https://www.icarros.com.br/comprar/sao-jose-do-rio-preto-sp/volkswagen/t-cross/2025/d57493468,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI Comfortline (Aut) automático,2025,133490.0,55774.0,SP,São José do Rio Preto,Branco,automático,LC,False,False,2160552,2160552,https://img1.icarros.com/dbimg/imgadicionalanuncio/1/478614259_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.829285,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,119704.0,3,exato,0.11516741295194814
56600811,https://www.icarros.com.br/comprar/sao-jose-do-rio-preto-sp/volkswagen/t-cross/2025/d56600811,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2025,139990.0,52503.0,SP,São José do Rio Preto,Branco,automático,LC,False,False,2160552,2160552,https://img0.icarros.com/dbimg/imgadicionalanuncio/1/469187509_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.829493,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,143595.0,4,exato,-0.025105330965562868
57496299,https://www.icarros.com.br/comprar/sao-jose-do-rio-preto-sp/volkswagen/t-cross/2025/d57496299,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2025,139990.0,49387.0,SP,São José do Rio Preto,Cinza,automático,LC,False,False,2160552,2160552,https://img0.icarros.com/dbimg/imgadicionalanuncio/1/478643045_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.829699,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,143595.0,4,exato,-0.025105330965562868
57352523,https://www.icarros.com.br/comprar/matao-sp/volkswagen/t-cross/2020/d57352523,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2020,101990.0,94889.0,SP,Matão,Cinza,automático,PJ,False,False,2387458,2387458,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/477197436_1.jpg,t-cross,volkswagen,2026-05-12T23:09:49.985182,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,104693.0,4,exato,-0.025818345066050262
56676628,https://www.icarros.com.br/comprar/americana-sp/volkswagen/t-cross/2020/d56676628,Volkswagen,T-Cross,1.0 200 TSI manual,Volkswagen T-Cross T-Cross 1.0 200 TSI manual,2020,90990.0,79800.0,SP,Americana,Cinza,manual,PJ,False,False,2004896,2004896,https://img1.icarros.com/dbimg/imgadicionalanuncio/1/470037568_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.065193,005511-5,T-Cross 1.0 TSI Flex 12V 5p Mec.,88047.0,3,exato,0.03342532965348053
56780615,https://www.icarros.com.br/comprar/jundiai-sp/volkswagen/t-cross/2025/d56780615,Volkswagen,T-Cross,1.0 200 TSI (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI (Aut) automático,2025,129900.0,17300.0,SP,Jundiaí,Prata,automático,PJ,False,False,131897,131897,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/472853260_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.065622,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,119704.0,3,exato,0.08517676936443226
54251451,https://www.icarros.com.br/comprar/jundiai-sp/volkswagen/t-cross/2025/d54251451,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI Comfortline (Aut) automático,2025,151900.0,9200.0,SP,Jundiaí,Preto,automático,PJ,False,False,131897,131897,https://img0.icarros.com/dbimg/imgadicionalanuncio/1/472691433_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.065819,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,119704.0,3,exato,0.26896344315979415
54625537,https://www.icarros.com.br/comprar/jundiai-sp/volkswagen/t-cross/2025/d54625537,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2025,156500.0,29700.0,SP,Jundiaí,Preto,automático,PJ,False,False,131897,131897,https://img1.icarros.com/dbimg/imgadicionalanuncio/1/472836039_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.138298,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,143595.0,4,exato,0.08987081722901215
54758194,https://www.icarros.com.br/comprar/jundiai-sp/volkswagen/t-cross/2025/d54758194,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2025,159900.0,20000.0,SP,Jundiaí,Azul,automático,PJ,False,False,131897,131897,https://img1.icarros.com/dbimg/imgadicionalanuncio/1/471785398_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.138511,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,143595.0,4,exato,0.11354852188446674
56342145,https://www.icarros.com.br/comprar/sorocaba-sp/volkswagen/t-cross/2024/d56342145,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2024,138900.0,47531.0,SP,Sorocaba,Prata,automático,PJ,False,False,2785911,2785911,https://img0.icarros.com/dbimg/imgadicionalanuncio/1/466382219_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.138716,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,131448.0,4,exato,0.05669161949972613
57464491,https://www.icarros.com.br/comprar/sao-paulo-sp/volkswagen/t-cross/2020/d57464491,Volkswagen,T-Cross,1.0 200 TSI automático,Volkswagen T-Cross T-Cross 1.0 200 TSI automático,2020,90900.0,80200.0,SP,São Paulo,Preto,automático,PJ,False,False,2821316,2821316,https://img1.icarros.com/dbimg/imgadicionalanuncio/1/478916469_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.139319,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,88676.0,3,exato,0.025080066759889937
57518472,https://www.icarros.com.br/comprar/sao-paulo-sp/volkswagen/t-cross/2023/d57518472,Volkswagen,T-Cross,1.0 200 TSI Sense (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI Sense (Aut) automático,2023,98900.0,35520.0,SP,São Paulo,Prata,automático,PJ,False,False,2825552,2825552,https://img0.icarros.com/dbimg/imgadicionalanuncio/1/478875126_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.139729,005520-4,T-Cross Sense 200 TSI 1.0 Flex 5p Aut.,95631.0,4,exato,0.03418347606947538
57518672,https://www.icarros.com.br/comprar/sao-paulo-sp/volkswagen/t-cross/2023/d57518672,Volkswagen,T-Cross,1.0 200 TSI (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI (Aut) automático,2023,99890.0,60260.0,SP,São Paulo,Cinza,automático,PJ,False,False,2825552,2825552,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/478876695_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.139926,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,100068.0,3,exato,-0.0017787904225126914
56903907,https://www.icarros.com.br/comprar/bauru-sp/volkswagen/t-cross/2024/d56903907,Volkswagen,T-Cross,1.0 200 TSI (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI (Aut) automático,2024,102900.0,60000.0,SP,Bauru,Branco,automático,PJ,False,False,2824122,2824122,https://img0.icarros.com/dbimg/imgadicionalanuncio/1/472621531_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.140136,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,107734.0,3,exato,-0.04486977184547125
57340910,https://www.icarros.com.br/comprar/sao-jose-do-rio-preto-sp/volkswagen/t-cross/2022/d57340910,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI Comfortline (Aut) automático,2022,104990.0,51916.0,SP,São José do Rio Preto,Preto,automático,PJ,False,False,2819274,2819274,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/477081813_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.140339,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,96806.0,3,exato,0.08454021444951759
56828048,https://www.icarros.com.br/comprar/campinas-sp/volkswagen/t-cross/2021/d56828048,Volkswagen,T-Cross,1.4 250 TSI Highline (Aut) automático,Volkswagen T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático,2021,111990.0,85236.0,SP,Campinas,Cinza,automático,PJ,False,False,2823359,2823359,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/471769914_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.141354,005508-5,T-Cross Hig. 250 TSI 1.4 Flex 16V 5p Aut,109080.0,4,exato,0.02667766776677668
57302498,https://www.icarros.com.br/comprar/sao-paulo-sp/volkswagen/t-cross/2025/d57302498,Volkswagen,T-Cross,1.0 200 TSI (Aut) automático,Volkswagen T-Cross T-Cross 1.0 200 TSI (Aut) automático,2025,115800.0,45000.0,SP,São Paulo,Azul,automático,PJ,False,False,1937417,1937417,https://img2.icarros.com/dbimg/imgadicionalanuncio/1/476690886_1.jpg,t-cross,volkswagen,2026-05-12T23:09:50.215833,005510-7,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,119704.0,3,exato,-0.032613780658958764
